"Tabela 1973 - Pessoas que frequentavam creche ou escola por nível de ensino, sexo e grupos de idade"
"Variável - Pessoas que frequentavam escola ou creche (Pessoas)"
"Brasil e Município";"Grupo de idade";"Ano x Nível de ensino ou curso que frequentavam x Sexo"
"Município";"Grupo de idade";"qtd_sup_10"
"Brasil e Município";"Grupo de idade";"Superior de graduação"
"Brasil e Município";"Grupo de idade";"Total"
"Santa Cruz do Arari (PA)";"Total";"57"
"Santa Izabel do Pará (PA)";"Total";"898"
"Santa Luzia do Pará (PA)";"Total";"101"
"Santa Maria das Barreiras (PA)";"Total";"133"
"Santa Maria do Pará (PA)";"Total";"225"
"Santana do Araguaia (PA)";"Total";"564"
"Santarém (PA)";"Total";"9275"
"Santarém Novo (PA)";"Total";"26"
"Santo Antônio do Tauá (PA)";"Total";"462"
"São Caetano de Odivelas (PA)";"Total";"142"
"São Domingos do Araguaia (PA)";"Total";"146"
"São Domingos do Capim (PA)";"Total";"254"
"São Félix do Xingu (PA)";"Total";"490"
"São Francisco do Pará (PA)";"Total";"171"
"São Geraldo do Araguaia (PA)";"Total";"206"
"São João da Ponta (PA)";"Total";"9"
"São João de Pirabas (PA)";"Total";"142"
"São João do Araguaia (PA)";"Total";"33"
"São Miguel do Guamá (PA)";"Total";"824"
"São Sebastião da Boa Vista (PA)";"Total";"131"
"Sapucaia (PA)";"Total";"76"
"Senador José Porfírio (PA)";"Total";"87"
"Soure (PA)";"Total";"180"
"Tailândia (PA)";"Total";"518"
"Terra Alta (PA)";"Total";"112"
"Terra Santa (PA)";"Total";"191"
"Tomé-Açu (PA)";"Total";"672"
"Tracuateua (PA)";"Total";"200"
"Trairão (PA)";"Total";"204"
"Tucumã (PA)";"Total";"547"
"Tucuruí (PA)";"Total";"2350"
"Ulianópolis (PA)";"Total";"296"
"Uruará (PA)";"Total";"693"
"Vigia (PA)";"Total";"514"
"Viseu (PA)";"Total";"478"
"Vitória do Xingu (PA)";"Total";"113"
"Xinguara (PA)";"Total";"780"
"Serra do Navio (AP)";"Total";"68"
"Amapá (AP)";"Total";"103"
"Pedra Branca do Amapari (AP)";"Total";"97"
"Calçoene (AP)";"Total";"157"
"Cutias (AP)";"Total";"72"
"Ferreira Gomes (AP)";"Total";"150"
"Itaubal (AP)";"Total";"64"
"Laranjal do Jari (AP)";"Total";"494"
"Macapá (AP)";"Total";"21026"
"Mazagão (AP)";"Total";"267"
"Oiapoque (AP)";"Total";"378"
"Porto Grande (AP)";"Total";"316"
"Pracuúba (AP)";"Total";"79"
"Santana (AP)";"Total";"3793"
"Tartarugalzinho (AP)";"Total";"221"
"Vitória do Jari (AP)";"Total";"183"
"Abreulândia (TO)";"Total";"19"
"Aguiarnópolis (TO)";"Total";"41"
"Aliança do Tocantins (TO)";"Total";"167"
"Almas (TO)";"Total";"66"
"Alvorada (TO)";"Total";"105"
"Ananás (TO)";"Total";"225"
"Angico (TO)";"Total";"125"
"Aparecida do Rio Negro (TO)";"Total";"76"
"Aragominas (TO)";"Total";"121"
"Araguacema (TO)";"Total";"52"
"Araguaçu (TO)";"Total";"90"
"Araguaína (TO)";"Total";"9385"
"Araguanã (TO)";"Total";"47"
"Araguatins (TO)";"Total";"499"
"Arapoema (TO)";"Total";"155"
"Arraias (TO)";"Total";"340"
"Augustinópolis (TO)";"Total";"643"
"Aurora do Tocantins (TO)";"Total";"39"
"Axixá do Tocantins (TO)";"Total";"157"
"Babaçulândia (TO)";"Total";"206"
"Bandeirantes do Tocantins (TO)";"Total";"44"
"Barra do Ouro (TO)";"Total";"60"
"Barrolândia (TO)";"Total";"49"
"Bernardo Sayão (TO)";"Total";"77"
"Bom Jesus do Tocantins (TO)";"Total";"28"
"Brasilândia do Tocantins (TO)";"Total";"52"
"Brejinho de Nazaré (TO)";"Total";"59"
"Buriti do Tocantins (TO)";"Total";"170"
"Cachoeirinha (TO)";"Total";"52"
"Campos Lindos (TO)";"Total";"42"
"Cariri do Tocantins (TO)";"Total";"102"
"Carmolândia (TO)";"Total";"50"
"Carrasco Bonito (TO)";"Total";"58"
"Caseara (TO)";"Total";"30"
"Centenário (TO)";"Total";"19"
"Chapada de Areia (TO)";"Total";"8"
"Chapada da Natividade (TO)";"Total";"9"
"Colinas do Tocantins (TO)";"Total";"1083"
"Combinado (TO)";"Total";"109"
"Conceição do Tocantins (TO)";"Total";"45"
"Couto Magalhães (TO)";"Total";"54"
"Cristalândia (TO)";"Total";"105"
"Crixás do Tocantins (TO)";"Total";"21"
"Darcinópolis (TO)";"Total";"30"
"Dianópolis (TO)";"Total";"334"
"Divinópolis do Tocantins (TO)";"Total";"30"
"Dois Irmãos do Tocantins (TO)";"Total";"16"
"Dueré (TO)";"Total";"82"
"Esperantina (TO)";"Total";"116"
"Fátima (TO)";"Total";"38"
"Figueirópolis (TO)";"Total";"151"
"Filadélfia (TO)";"Total";"118"
"Formoso do Araguaia (TO)";"Total";"294"
"Tabocão (TO)";"Total";"53"
"Goianorte (TO)";"Total";"45"
"Goiatins (TO)";"Total";"147"
"Guaraí (TO)";"Total";"622"
"Gurupi (TO)";"Total";"4655"
"Ipueiras (TO)";"Total";"23"
"Itacajá (TO)";"Total";"108"
"Itaguatins (TO)";"Total";"82"
"Itapiratins (TO)";"Total";"23"
"Itaporã do Tocantins (TO)";"Total";"30"
"Jaú do Tocantins (TO)";"Total";"32"
"Juarina (TO)";"Total";"35"
"Lagoa da Confusão (TO)";"Total";"135"
"Lagoa do Tocantins (TO)";"Total";"24"
"Lajeado (TO)";"Total";"53"
"Lavandeira (TO)";"Total";"13"
"Lizarda (TO)";"Total";"22"
"Luzinópolis (TO)";"Total";"25"
"Marianópolis do Tocantins (TO)";"Total";"43"
"Mateiros (TO)";"Total";"4"
"Maurilândia do Tocantins (TO)";"Total";"62"
"Miracema do Tocantins (TO)";"Total";"637"
"Miranorte (TO)";"Total";"262"
"Monte do Carmo (TO)";"Total";"56"
"Monte Santo do Tocantins (TO)";"Total";"49"
"Palmeiras do Tocantins (TO)";"Total";"97"
"Muricilândia (TO)";"Total";"22"
"Natividade (TO)";"Total";"37"
"Nazaré (TO)";"Total";"28"
"Nova Olinda (TO)";"Total";"197"
"Nova Rosalândia (TO)";"Total";"30"
"Novo Acordo (TO)";"Total";"44"
"Novo Alegre (TO)";"Total";"82"
"Novo Jardim (TO)";"Total";"24"
"Oliveira de Fátima (TO)";"Total";"5"
"Palmeirante (TO)";"Total";"86"
"Palmeirópolis (TO)";"Total";"85"
"Paraíso do Tocantins (TO)";"Total";"1588"
"Paranã (TO)";"Total";"83"
"Pau D'Arco (TO)";"Total";"123"
"Pedro Afonso (TO)";"Total";"267"
"Peixe (TO)";"Total";"255"
"Pequizeiro (TO)";"Total";"50"
"Colméia (TO)";"Total";"155"
"Pindorama do Tocantins (TO)";"Total";"39"
"Piraquê (TO)";"Total";"58"
"Pium (TO)";"Total";"171"
"Ponte Alta do Bom Jesus (TO)";"Total";"35"
"Ponte Alta do Tocantins (TO)";"Total";"85"
"Porto Alegre do Tocantins (TO)";"Total";"32"
"Porto Nacional (TO)";"Total";"2702"
"Praia Norte (TO)";"Total";"148"
"Presidente Kennedy (TO)";"Total";"34"
"Pugmil (TO)";"Total";"25"
"Recursolândia (TO)";"Total";"13"
"Riachinho (TO)";"Total";"24"
"Rio da Conceição (TO)";"Total";"25"
"Rio dos Bois (TO)";"Total";"43"
"Rio Sono (TO)";"Total";"89"
