"Tabela 3741 - Taxa de analfabetismo das pessoas de 10 a 17 anos de idade e Percentual de pessoas que não frequentavam escola na população de 10 a 17 anos de idade, por grupos de idade e situação de ocupação na semana de referência"
"Variável - Taxa de analfabetismo das pessoas de 10 a 17 anos de idade (%)"
"Município";"Situação de ocupação na semana de referência";"Ano x Grupo de idade"
"Município";"Situação de ocupação na semana de referência";"2010"
"Município";"Situação de ocupação na semana de referência";"Total"
"Palmeiras do Tocantins (TO)";"Total";"2,3"
"Muricilândia (TO)";"Total";"5,0"
"Natividade (TO)";"Total";"2,8"
"Nazaré (TO)";"Total";"3,8"
"Nova Olinda (TO)";"Total";"1,3"
"Nova Rosalândia (TO)";"Total";"1,7"
"Novo Acordo (TO)";"Total";"4,3"
"Novo Alegre (TO)";"Total";"-"
"Novo Jardim (TO)";"Total";"2,5"
"Oliveira de Fátima (TO)";"Total";"2,0"
"Palmeirante (TO)";"Total";"4,8"
"Palmeirópolis (TO)";"Total";"0,4"
"Paraíso do Tocantins (TO)";"Total";"1,0"
"Paranã (TO)";"Total";"5,3"
"Pau D'Arco (TO)";"Total";"4,3"
"Pedro Afonso (TO)";"Total";"2,1"
"Peixe (TO)";"Total";"2,0"
"Pequizeiro (TO)";"Total";"2,3"
"Colméia (TO)";"Total";"1,9"
"Pindorama do Tocantins (TO)";"Total";"3,0"
"Piraquê (TO)";"Total";"5,3"
"Pium (TO)";"Total";"3,5"
"Ponte Alta do Bom Jesus (TO)";"Total";"2,2"
"Ponte Alta do Tocantins (TO)";"Total";"2,3"
"Porto Alegre do Tocantins (TO)";"Total";"2,9"
"Porto Nacional (TO)";"Total";"1,4"
"Praia Norte (TO)";"Total";"5,8"
"Presidente Kennedy (TO)";"Total";"1,0"
"Pugmil (TO)";"Total";"1,7"
"Recursolândia (TO)";"Total";"11,7"
"Riachinho (TO)";"Total";"2,1"
"Rio da Conceição (TO)";"Total";"3,4"
"Rio dos Bois (TO)";"Total";"3,1"
"Rio Sono (TO)";"Total";"2,0"
"Sampaio (TO)";"Total";"5,6"
"Sandolândia (TO)";"Total";"0,8"
"Santa Fé do Araguaia (TO)";"Total";"9,7"
"Santa Maria do Tocantins (TO)";"Total";"3,4"
"Santa Rita do Tocantins (TO)";"Total";"2,2"
"Santa Rosa do Tocantins (TO)";"Total";"0,9"
"Santa Tereza do Tocantins (TO)";"Total";"2,4"
"Santa Terezinha do Tocantins (TO)";"Total";"2,4"
"São Bento do Tocantins (TO)";"Total";"3,9"
"São Félix do Tocantins (TO)";"Total";"7,4"
"São Miguel do Tocantins (TO)";"Total";"6,8"
"São Salvador do Tocantins (TO)";"Total";"3,8"
"São Sebastião do Tocantins (TO)";"Total";"8,2"
"São Valério (TO)";"Total";"1,2"
"Silvanópolis (TO)";"Total";"3,5"
"Sítio Novo do Tocantins (TO)";"Total";"7,2"
"Sucupira (TO)";"Total";"-"
"Taguatinga (TO)";"Total";"3,8"
"Taipas do Tocantins (TO)";"Total";"3,8"
"Talismã (TO)";"Total";"0,6"
"Palmas (TO)";"Total";"1,4"
"Tocantínia (TO)";"Total";"12,7"
"Tocantinópolis (TO)";"Total";"4,2"
"Tupirama (TO)";"Total";"2,7"
"Tupiratins (TO)";"Total";"1,6"
"Wanderlândia (TO)";"Total";"3,9"
"Xambioá (TO)";"Total";"3,3"
"Açailândia (MA)";"Total";"2,7"
"Afonso Cunha (MA)";"Total";"5,8"
"Água Doce do Maranhão (MA)";"Total";"16,3"
"Alcântara (MA)";"Total";"4,5"
"Aldeias Altas (MA)";"Total";"19,9"
"Altamira do Maranhão (MA)";"Total";"12,9"
"Alto Alegre do Maranhão (MA)";"Total";"5,3"
"Alto Alegre do Pindaré (MA)";"Total";"5,6"
"Alto Parnaíba (MA)";"Total";"6,1"
"Amapá do Maranhão (MA)";"Total";"16,0"
"Amarante do Maranhão (MA)";"Total";"7,8"
"Anajatuba (MA)";"Total";"6,3"
"Anapurus (MA)";"Total";"10,7"
"Apicum-Açu (MA)";"Total";"5,6"
"Araguanã (MA)";"Total";"9,3"
"Araioses (MA)";"Total";"10,2"
"Arame (MA)";"Total";"17,8"
"Arari (MA)";"Total";"5,7"
"Axixá (MA)";"Total";"4,7"
"Bacabal (MA)";"Total";"5,6"
"Bacabeira (MA)";"Total";"5,5"
"Bacuri (MA)";"Total";"4,8"
"Bacurituba (MA)";"Total";"3,6"
"Balsas (MA)";"Total";"3,8"
"Barão de Grajaú (MA)";"Total";"3,8"
"Barra do Corda (MA)";"Total";"7,6"
"Barreirinhas (MA)";"Total";"6,3"
"Belágua (MA)";"Total";"19,5"
"Bela Vista do Maranhão (MA)";"Total";"11,1"
"Benedito Leite (MA)";"Total";"6,0"
"Bequimão (MA)";"Total";"4,5"
"Bernardo do Mearim (MA)";"Total";"4,0"
"Boa Vista do Gurupi (MA)";"Total";"5,4"
"Bom Jardim (MA)";"Total";"9,9"
"Bom Jesus das Selvas (MA)";"Total";"11,3"
"Bom Lugar (MA)";"Total";"7,4"
"Brejo (MA)";"Total";"7,1"
"Brejo de Areia (MA)";"Total";"9,2"
"Buriti (MA)";"Total";"10,7"
"Buriti Bravo (MA)";"Total";"7,6"
"Buriticupu (MA)";"Total";"8,4"
"Buritirana (MA)";"Total";"6,9"
"Cachoeira Grande (MA)";"Total";"13,5"
"Cajapió (MA)";"Total";"15,7"
"Cajari (MA)";"Total";"12,7"
"Campestre do Maranhão (MA)";"Total";"2,5"
"Cândido Mendes (MA)";"Total";"11,3"
"Cantanhede (MA)";"Total";"11,3"
"Capinzal do Norte (MA)";"Total";"11,9"
"Carolina (MA)";"Total";"4,6"
"Carutapera (MA)";"Total";"6,6"
"Caxias (MA)";"Total";"7,9"
"Cedral (MA)";"Total";"2,6"
"Central do Maranhão (MA)";"Total";"7,3"
"Centro do Guilherme (MA)";"Total";"18,5"
"Centro Novo do Maranhão (MA)";"Total";"12,8"
"Chapadinha (MA)";"Total";"8,7"
"Cidelândia (MA)";"Total";"6,1"
"Codó (MA)";"Total";"9,3"
"Coelho Neto (MA)";"Total";"8,8"
"Colinas (MA)";"Total";"10,2"
"Conceição do Lago-Açu (MA)";"Total";"15,4"
"Coroatá (MA)";"Total";"6,2"
"Cururupu (MA)";"Total";"2,1"
"Davinópolis (MA)";"Total";"5,4"
"Dom Pedro (MA)";"Total";"5,1"
"Duque Bacelar (MA)";"Total";"14,9"
"Esperantinópolis (MA)";"Total";"8,3"
"Estreito (MA)";"Total";"8,7"
"Feira Nova do Maranhão (MA)";"Total";"2,8"
"Fernando Falcão (MA)";"Total";"17,4"
"Formosa da Serra Negra (MA)";"Total";"4,8"
"Fortaleza dos Nogueiras (MA)";"Total";"1,6"
"Fortuna (MA)";"Total";"7,5"
"Godofredo Viana (MA)";"Total";"4,9"
"Gonçalves Dias (MA)";"Total";"9,5"
"Governador Archer (MA)";"Total";"7,2"
"Governador Edison Lobão (MA)";"Total";"3,0"
"Governador Eugênio Barros (MA)";"Total";"13,0"
